name,direction,bootstrap,srr,reference,has_reference,bootstrap_gap_pct,srr_gap_pct,improvement_pct,changed_edges,srr_moves,srr_scope_nodes,srr_revisits,asymmetric,time_windows,multi_depot,strict_backhaul,open_route,pickup_delivery,optional
opdcvrp,minimize,38.646854400634766,30.332366943359375,22.051122665405273,True,75.26025766146398,37.55475130953793,21.514008284045044,10,8,8,0,False,False,False,False,True,True,False
aspctsp,minimize,4.371354103088379,3.675398826599121,,False,,,15.920816755557796,9,8,8,0,True,False,False,False,False,False,True
cvrpbltw,minimize,48.085533142089844,41.213218688964844,18.491065429363715,True,160.0473905940015,122.88179578618801,14.291854543481355,10,8,9,0,False,True,False,False,False,False,False
cvrpbptw,minimize,47.43738555908203,41.33116912841797,28.957300186157227,True,63.818399001710254,42.73143166908895,12.872160551636913,9,8,8,0,False,True,False,True,False,False,False
ocvrpltw,minimize,20.48570442199707,18.848791122436523,14.80633789869914,True,38.35767197908479,27.30218134554762,7.99051507256381,8,8,8,0,False,True,False,False,True,False,False
ocvrpbtw,minimize,19.30362892150879,16.84178924560547,11.315462161252785,True,70.59514358688463,48.83872179146449,12.753248033898181,8,8,9,0,False,True,False,False,True,False,False
ocvrpbpl,minimize,14.61569881439209,13.122000694274902,10.130979537963867,True,44.267380657740084,29.52351394159634,10.219820065300892,8,8,9,0,False,False,False,True,True,False,False
acvrpltw,minimize,6.2747087478637695,5.923457622528076,3.934109926223755,True,59.49500307650762,50.56665252396346,5.597887319555304,9,8,9,0,True,True,False,False,False,False,False
acvrpbtw,minimize,5.564085960388184,5.109507083892822,3.8774900436401367,True,43.4971050284037,31.773570696163134,8.169875155265343,9,8,11,0,True,True,False,False,False,False,False
acvrpbpl,minimize,4.608817100524902,4.114898681640625,2.39411997795105,True,92.50568655582784,71.87520757260721,10.716815358718065,10,8,9,0,True,False,False,True,False,False,False
aocvrptw,minimize,3.520071506500244,3.1171815395355225,2.197279930114746,True,60.20132247402903,41.865471795973555,11.445505189901283,8,8,8,1,True,True,False,False,True,False,False
aocvrpbl,minimize,3.7070980072021484,3.2343738079071045,1.85030996799469,True,100.35010735092074,74.80172856726385,12.751866780339649,8,8,8,0,True,False,False,False,True,False,False
aocvrpbp,minimize,3.5605762004852295,3.231332540512085,1.684209942817688,True,111.40928514697967,91.86043606333641,9.246920763225788,8,8,8,0,True,False,False,True,True,False,False
mdcvrptw,minimize,26.87939453125,24.587644577026367,16.06063461303711,True,67.36197030116628,53.09260916170471,8.526047532652727,10,8,8,0,False,True,True,False,False,False,False
mdcvrpbl,minimize,52.50718307495117,43.1314811706543,11.144113540649414,True,371.1651840536736,287.03375565339803,17.85603674627444,8,8,8,0,False,False,True,False,False,False,False
mdcvrpbp,minimize,18.81113052368164,16.671838760375977,11.54989242553711,True,62.86844786614416,44.34626874544833,11.37247844095534,9,8,9,0,False,False,True,True,False,False,False
mdocvrpl,minimize,12.464228630065918,11.379572868347168,7.678080081939697,True,62.335225695081654,48.208572285070126,8.702149117373931,9,8,11,0,False,False,True,False,True,False,False
mdocvrpb,minimize,12.465832710266113,11.294602394104004,7.40138578414917,True,68.4256580296487,52.60118474424827,9.395524096818292,8,8,8,0,False,False,True,False,True,False,False
amdcvrpl,minimize,4.4819207191467285,4.091498374938965,2.0546700954437256,True,118.13335041403886,99.13164570857137,8.711049763550761,9,8,8,0,True,False,True,False,False,False,False
amdcvrpb,minimize,2.649064540863037,2.6010379791259766,2.0909199714660645,True,26.69373180292622,24.396821237602843,1.8129630666308343,8,8,14,0,True,False,True,False,False,False,False
amdocvrp,minimize,3.5000815391540527,3.0962483882904053,1.6141999959945679,True,116.83072406387438,91.8131827514157,11.537821229194888,8,8,8,0,True,False,True,False,True,False,False
aopdcvrp,minimize,4.777169227600098,4.196747303009033,2.8953630924224854,True,64.99378748394376,44.947185173162815,12.149913409758994,8,8,8,0,True,False,False,False,True,True,False
cvrpbpltw,minimize,52.44989776611328,45.197757720947266,24.263469696044922,True,116.16816730322334,86.27903711691633,13.826795387676546,8,8,8,2,False,True,False,True,False,False,False
ocvrpbltw,minimize,19.465042114257812,17.413227081298828,12.158860347542328,True,60.089363294581176,43.21430285050166,10.54102539781337,8,8,9,0,False,True,False,False,True,False,False
ocvrpbptw,minimize,23.452228546142578,19.7332763671875,15.587929725646973,True,50.45120781854949,26.59331107145132,15.85756411864224,9,8,15,2,False,True,False,True,True,False,False
acvrpbltw,minimize,6.713021278381348,6.278139591217041,4.355629920959473,True,54.12285708843191,44.13849902642949,6.478181270850461,10,8,11,0,True,True,False,False,False,False,False
acvrpbptw,minimize,5.624093055725098,5.415395736694336,4.041339874267578,True,39.16407010297212,34.00000755135155,3.710772865294545,8,8,8,0,True,True,False,True,False,False,False
aocvrpltw,minimize,4.047970294952393,3.6279730796813965,2.6610701084136963,True,52.11813781807682,36.33511827480883,10.37550141597409,9,8,8,0,True,True,False,False,True,False,False
aocvrpbtw,minimize,4.809196472167969,4.201813697814941,3.206279993057251,True,49.993028761730365,31.049493709637925,12.629610328213964,8,8,10,0,True,True,False,False,True,False,False
aocvrpbpl,minimize,3.571753740310669,3.1797354221343994,2.011620044708252,True,77.55608220878936,58.068390226026054,10.975513618197317,8,8,8,0,True,False,False,True,True,False,False
mdcvrpltw,minimize,39.349571228027344,34.21570587158203,15.039703369140625,True,161.63794765239305,127.50253134505225,13.046813970843568,8,8,8,0,False,True,True,False,False,False,False
mdcvrpbtw,minimize,31.160255432128906,27.63722801208496,16.96717071533203,True,83.65027354838594,62.88648517640689,11.306157061894302,8,8,9,0,False,True,True,False,False,False,False
mdcvrpbpl,minimize,46.03827667236328,37.175724029541016,11.554325103759766,True,298.4505910897597,221.74725650954787,19.250400500204744,9,8,8,0,False,False,True,True,False,False,False
mdocvrptw,minimize,15.792774200439453,13.984390258789062,10.90636920928955,True,44.80322367032912,28.222234094897438,11.450704725456468,8,8,9,0,False,True,True,False,True,False,False
mdocvrpbl,minimize,12.014026641845703,11.072805404663086,7.207280158996582,True,66.69293237961669,53.633619900862485,7.8343528380757625,9,8,11,0,False,False,True,False,True,False,False
mdocvrpbp,minimize,15.474156379699707,14.098162651062012,9.020671844482422,True,71.54106308794083,56.287279862478144,8.892205137869997,9,8,10,0,False,False,True,True,True,False,False
amdcvrptw,minimize,4.503026962280273,4.22543478012085,3.354909896850586,True,34.22199405437028,25.947787274032812,6.16456851101897,8,8,10,0,True,True,True,False,False,False,False
amdcvrpbl,minimize,3.9489221572875977,3.576150894165039,2.029139995574951,True,94.6106313955278,76.2397322000322,9.43982302701567,8,8,9,0,True,False,True,False,False,False,False
amdcvrpbp,minimize,3.896819829940796,3.543196439743042,2.13319993019104,True,82.67485268442765,66.09771965564094,9.074666154199038,9,8,9,0,True,False,True,True,False,False,False
amdocvrpl,minimize,3.121278762817383,2.8350157737731934,1.473230004310608,True,111.86635852410383,92.43538113383916,9.171336839705974,10,8,9,0,True,False,True,False,True,False,False
amdocvrpb,minimize,3.2034504413604736,2.8144476413726807,1.539430022239685,True,108.09328095991265,82.82400633437035,12.143243889940978,9,8,8,0,True,False,True,False,True,False,False
ocvrpbpltw,minimize,20.199501037597656,18.718612670898438,15.567480087280273,True,29.754468445423417,20.241764023150164,7.331311619741583,10,8,15,4,False,True,False,True,True,False,False
acvrpbpltw,minimize,6.957699298858643,6.505187034606934,4.274040222167969,True,62.78974780750687,52.2022886183143,6.503762879288851,8,8,9,0,True,True,False,True,False,False,False
aocvrpbltw,minimize,4.277169227600098,3.6678993701934814,2.726140022277832,True,56.89470066274512,34.545523715570575,14.24469842051293,8,8,10,0,True,True,False,False,True,False,False
aocvrpbptw,minimize,4.133709907531738,3.8250863552093506,2.9010000228881836,True,42.492584450802276,31.854061531552947,7.466018642480614,8,8,9,1,True,True,False,True,True,False,False
mdcvrpbltw,minimize,52.020694732666016,43.57020568847656,16.33831787109375,True,218.39688236634575,166.6749786130817,16.24447556422777,8,8,8,0,False,True,True,False,False,False,False
mdcvrpbptw,minimize,27.209190368652344,24.642988204956055,16.943025588989258,True,60.59227571688698,45.4462077952049,9.431380092267668,9,8,9,0,False,True,True,True,False,False,False
mdocvrpltw,minimize,14.791386604309082,13.166892051696777,9.88421630859375,True,49.64652879408187,33.21129000636026,10.982706328148105,8,8,12,1,False,True,True,False,True,False,False
mdocvrpbtw,minimize,17.388416290283203,14.974865913391113,10.510350227355957,True,65.44088364463123,42.47732558345275,13.880219662332346,8,8,10,0,False,True,True,False,True,False,False
mdocvrpbpl,minimize,12.517395973205566,11.654976844787598,8.08454704284668,True,54.831135335913885,44.16363443762856,6.8897646943824595,9,8,14,2,False,False,True,True,True,False,False
amdcvrpltw,minimize,5.999233722686768,5.69437313079834,3.8935599327087402,True,54.08093945822776,46.25107174956925,5.081658858123223,9,8,8,0,True,True,True,False,False,False,False
amdcvrpbtw,minimize,5.320703983306885,4.843193054199219,3.578700065612793,True,48.6770024242253,35.33386328563141,8.974581758462852,8,8,13,3,True,True,True,False,False,False,False
amdcvrpbpl,minimize,4.766524791717529,4.188243389129639,2.392819881439209,True,99.20115294472596,75.03379262339365,12.132138777348466,8,8,10,0,True,False,True,True,False,False,False
amdocvrptw,minimize,3.4183175563812256,3.074004888534546,1.9101699590682983,True,78.95358159901849,60.92834430470878,10.072576996362606,8,8,9,0,True,True,True,False,True,False,False
amdocvrpbl,minimize,3.244565486907959,2.823868751525879,1.5236300230026245,True,112.94969499970074,85.33821918006498,12.96619646234973,9,8,9,0,True,False,True,False,True,False,False
amdocvrpbp,minimize,3.778132677078247,3.366387367248535,1.7706600427627563,True,113.37425512710143,90.1204797051821,10.89811674237253,8,8,8,0,True,False,True,True,True,False,False
aocvrpbpltw,minimize,4.88510274887085,4.615146636962891,3.575939893722534,True,36.61031488383,29.06107971961877,5.526109189215254,8,8,9,0,True,True,False,True,True,False,False
mdcvrpbpltw,minimize,49.97146224975586,44.19784927368164,17.7119197845459,True,182.13464637163293,149.5373161764508,11.553820352940395,8,8,8,0,False,True,True,True,False,False,False
mdocvrpbltw,minimize,16.494403839111328,14.646535873413086,10.192261695861816,True,61.83261705111299,43.70250990866688,11.20299941557512,10,8,9,0,False,True,True,False,True,False,False
mdocvrpbptw,minimize,16.718029022216797,14.411873817443848,10.998909950256348,True,51.99714424270885,31.03001918029118,13.794420393147247,9,8,9,0,False,True,True,True,True,False,False
amdcvrpbltw,minimize,7.279699802398682,6.804087162017822,4.65995979309082,True,56.21808182105068,46.01171392306934,6.53341007584054,9,8,9,2,True,True,True,False,False,False,False
amdcvrpbptw,minimize,4.918285369873047,4.639063358306885,3.1462199687957764,True,56.323633396667205,47.44879265649369,5.677222661306648,10,8,9,0,True,True,True,True,False,False,False
amdocvrpltw,minimize,3.429492473602295,2.9930715560913086,1.8495899438858032,True,85.41907004518389,61.82352018000083,12.72552486614952,9,8,9,0,True,True,True,False,True,False,False
amdocvrpbtw,minimize,3.5619850158691406,3.175421953201294,2.1618199348449707,True,64.7678864671298,46.88651455279559,10.852461785932682,9,8,9,0,True,True,True,False,True,False,False
amdocvrpbpl,minimize,3.5953965187072754,3.15995717048645,1.6517200469970703,True,117.67590247777943,91.31312090274915,12.111024360044366,8,8,12,1,True,False,True,True,True,False,False
mdocvrpbpltw,minimize,17.630170822143555,15.197572708129883,11.175503730773926,True,57.75728098587132,35.990046392990834,13.79792707940368,9,8,12,0,False,True,True,True,True,False,False
amdcvrpbpltw,minimize,6.736509323120117,6.223339080810547,3.870919942855835,True,74.02863976954652,60.771578143751945,7.617747080796552,8,8,9,0,True,True,True,True,False,False,False
amdocvrpbltw,minimize,3.2829272747039795,2.813873052597046,1.474560022354126,True,122.63775125700249,90.82797647699108,14.287682390077558,8,8,9,0,True,True,True,False,True,False,False
amdocvrpbptw,minimize,3.6304080486297607,3.2773518562316895,2.2038800716400146,True,64.72802197118635,48.70826677028992,9.724972721215916,9,8,9,0,True,True,True,True,True,False,False
amdocvrpbpltw,minimize,3.6634716987609863,3.2495815753936768,1.921470046043396,True,90.65983913226444,69.11955417078022,11.297756811040477,8,8,9,0,True,True,True,True,True,False,False
